STCODE,STNAME,DIST,DISTNAME,YEAR,POP_T,POP_M,POP_F,POP_RU,POP_RM,POP_RF,POP_UB,POP_UM,POP_UF,LIT_T,LIT_M,LIT_F,LIT_RU,LIT_RM,LIT_RF,LIT_UB,LIT_UM,LIT_UF,CULT_T,CULT_M,CULT_F,CULT_RU,CULT_RM,CULT_RF,CULT_UB,CULT_UM,CULT_UF,AGRL_T,AGRL_M,AGRL_F,AGRL_RU,AGRL_RM,AGRL_RF,AGRL_UB,AGRL_UM,AGRL_UF
2,Bihar,903,Darbhanga,1981,6450.91,3261.77,3189.14,6114.16,3081.23,3032.93,336.75,180.55,156.21,1512.99,1144.84,368.17,1344.06,1033.33,310.73,168.83,111.50,57.34,717.86,690.40,27.46,713.61,686.27,27.35,4.25,4.14,0.11,796.09,669.31,126.78,788.93,662.74,126.19,7.15,6.56,0.59
2,Bihar,903,Darbhanga,1991,8059.91,4190.46,3869.46,7603.88,3946.92,3656.97,456.03,243.55,212.50,2231.31,1640.75,590.56,1991.99,1488.68,503.30,239.33,152.07,87.24,931.70,872.20,59.40,921.40,862.40,59.00,10.30,9.80,0.50,1000.40,808.90,191.50,986.30,796.90,189.40,14.20,12.00,2.20
2,Bihar,903,Darbhanga,2001,10269.54,5325.25,4944.29,9754.87,5051.86,4703.01,514.67,273.39,241.28,3637.03,2453.73,1183.30,3320.23,2263.82,1056.41,316.80,189.91,126.89,905.01,729.59,175.43,901.86,726.76,175.10,3.16,2.83,0.33,1732.51,1167.91,564.60,1722.23,1160.32,561.91,10.28,7.59,2.69
2,Bihar,903,Darbhanga,2011,12686.34,6619.26,6067.07,11993.71,6255.11,5738.61,692.63,364.16,328.46,6114.85,3759.24,2355.63,5669.37,3504.23,2165.15,445.48,255.00,190.48,932.59,741.54,191.06,921.22,732.89,188.33,11.37,8.63,2.73,2304.39,1606.51,697.88,2275.26,1585.33,689.93,29.13,21.18,7.95
2,Bihar,904,Saharsa,1961,1723.57,886.44,837.13,1656.14,848.83,807.31,67.43,37.61,29.82,241.41,206.94,34.48,219.14,189.66,29.48,22.27,17.27,5.00,413.93,279.49,134.44,408.93,276.05,132.88,5.00,3.44,1.56,229.11,117.04,112.07,226.36,115.67,110.69,2.75,1.37,1.38
2,Bihar,904,Saharsa,1971,2350.06,1223.37,1126.69,2243.55,1164.27,1079.29,106.51,59.10,47.40,362.64,301.09,61.55,323.69,272.85,50.84,38.95,28.24,10.71,353.78,334.02,19.76,347.73,328.16,19.57,6.05,5.86,0.19,402.64,267.10,135.53,392.85,259.85,132.99,9.79,7.25,2.54
2,Bihar,904,Saharsa,1981,2953.80,1530.28,1423.52,2784.84,1437.10,1347.74,168.97,93.19,75.78,598.54,468.15,130.40,526.21,417.53,108.68,72.34,50.62,21.72,415.25,381.94,33.31,407.24,374.24,33.00,8.01,7.70,0.31,492.10,316.93,175.17,479.44,307.91,171.53,12.66,9.03,3.64
2,Bihar,904,Saharsa,1991,3652.96,1930.91,1722.06,3404.44,1794.10,1610.35,248.52,136.81,111.70,826.65,628.74,197.92,715.19,552.59,162.61,111.47,76.16,35.31,378.20,328.20,50.00,367.50,319.00,48.40,10.80,9.20,1.60,387.10,251.00,136.20,374.10,241.70,132.40,13.00,9.20,3.80
2,Bihar,904,Saharsa,2001,4776.08,2493.71,2282.37,4496.24,2342.96,2153.28,279.85,150.75,129.09,1428.98,1016.75,412.23,1274.96,920.32,354.65,154.02,96.43,57.59,672.14,457.41,214.73,666.94,453.17,213.76,5.21,4.24,0.97,1095.74,598.23,497.51,1080.95,589.43,491.52,14.79,8.80,5.99
2,Bihar,904,Saharsa,2011,4129.74,2152.45,1977.28,3867.64,2013.38,1854.26,262.10,139.08,123.02,1838.28,1154.04,684.23,1675.42,1059.08,616.34,162.86,94.96,67.90,366.48,273.64,92.84,361.17,269.41,91.76,5.31,4.23,1.08,911.10,550.91,360.20,896.98,540.24,356.74,14.12,10.66,3.46
2,Bihar,905,Purnea,1961,3089.13,1607.28,1481.85,2903.53,1499.63,1403.90,185.60,107.65,77.95,498.15,410.16,87.99,425.72,356.80,68.92,72.43,53.36,19.07,564.76,473.97,90.79,557.90,467.93,89.97,6.86,6.04,0.82,359.67,227.10,132.57,355.97,224.68,131.30,3.70,2.42,1.28
2,Bihar,905,Purnea,1971,3942.92,2053.80,1889.11,3692.61,1912.86,1779.75,250.30,140.94,109.36,625.72,499.75,125.98,522.68,428.28,94.40,103.04,71.46,31.58,570.73,546.56,24.17,561.46,537.39,24.07,9.27,9.17,0.10,579.03,429.62,149.41,567.24,419.52,147.72,11.79,10.10,1.69
2,Bihar,905,Purnea,1981,5024.33,2608.65,2415.69,4602.95,2376.68,2226.27,421.39,231.97,189.42,993.32,753.09,240.24,799.57,624.89,174.68,193.75,128.20,65.55,606.58,582.45,24.12,593.92,570.04,23.87,12.67,12.41,0.26,864.59,633.82,230.76,842.72,616.20,226.52,21.87,17.63,4.24
2,Bihar,905,Purnea,1991,6300.02,3297.55,3002.46,5768.69,3010.44,2758.26,531.32,287.11,244.22,1331.51,980.30,351.22,1067.93,812.22,255.71,263.59,168.08,95.50,772.10,725.30,46.70,754.80,708.90,45.90,17.30,16.60,0.70,1099.90,812.00,288.10,1072.60,789.60,282.90,27.30,22.20,5.10
2,Bihar,905,Purnia,2001,8349.22,4346.57,4002.64,7647.49,3969.90,3677.59,701.73,376.67,325.06,2273.25,1566.55,706.70,1875.02,1325.41,549.61,398.23,241.14,157.09,745.46,603.68,141.78,735.02,593.96,141.06,10.44,9.72,0.72,1931.63,1272.54,659.09,1902.42,1250.06,652.36,29.21,22.48,6.72
2,Bihar,905,Purnea,2011,10837.62,5630.10,5207.52,9890.89,5132.83,4758.05,946.73,497.27,449.47,4553.35,2735.08,1818.27,3965.26,2402.47,1562.78,588.09,332.61,255.48,697.05,568.82,128.23,681.21,555.12,126.09,15.86,13.71,2.14,2431.13,1669.15,761.97,2375.36,1628.22,747.15,55.76,40.93,14.84
2,Bihar,906,Saran,1961,3584.92,1677.78,1907.14,3435.00,1597.66,1837.35,149.92,80.12,69.79,654.08,544.74,109.34,596.28,501.93,94.35,57.80,42.80,15.00,780.91,561.18,219.73,773.72,556.08,217.65,7.19,5.10,2.09,238.82,113.99,124.83,236.02,112.63,123.40,2.80,1.37,1.43
2,Bihar,906,Saran,1971,4283.44,2082.90,2200.54,4103.62,1985.91,2117.71,179.82,96.99,82.83,815.01,675.41,139.61,747.03,626.77,120.26,67.99,48.64,19.35,613.83,585.24,28.59,606.47,578.22,28.25,7.36,7.01,0.35,385.66,274.80,110.86,375.86,266.95,108.92,9.80,7.85,1.95
2,Bihar,906,Saran,1981,5225.37,2570.88,2654.50,4909.49,2403.27,2506.22,315.89,167.60,148.28,1281.53,998.88,282.66,1141.49,903.97,237.50,140.03,94.88,45.15,738.99,705.20,33.77,726.96,693.48,33.48,12.02,11.72,0.30,319.55,235.13,84.42,307.02,223.98,83.05,12.52,11.15,1.37
2,Bihar,906,Saran,1991,6448.26,3253.35,3194.92,6001.53,3015.51,2986.03,446.74,237.85,208.89,1981.10,1403.91,527.19,1769.91,1315.07,454.85,211.20,138.84,72.35,856.40,810.10,46.30,834.70,789.00,45.90,21.60,21.10,0.50,447.90,346.80,100.90,426.60,328.00,98.70,21.20,18.80,2.40
2,Bihar,906,Saran,2001,8109.66,4058.80,4050.86,7533.25,3755.08,3778.16,576.41,303.72,272.70,3335.53,2168.40,1167.13,3011.67,1967.47,1044.20,323.86,200.94,122.93,869.40,731.96,137.44,855.71,719.79,135.93,13.69,12.17,1.52,834.78,537.65,297.14,811.62,520.99,290.63,23.16,16.66,6.50
